20073 M5415   1 Radiculopathy, thoracolumbar region                          Radiculopathy, thoracolumbar region
20074 M5416   1 Radiculopathy, lumbar region                                 Radiculopathy, lumbar region
20075 M5417   1 Radiculopathy, lumbosacral region                            Radiculopathy, lumbosacral region
20076 M5418   1 Radiculopathy, sacral and sacrococcygeal region              Radiculopathy, sacral and sacrococcygeal region
20077 M542    1 Cervicalgia                                                  Cervicalgia
20078 M543    0 Sciatica                                                     Sciatica
20079 M5430   1 Sciatica, unspecified side                                   Sciatica, unspecified side
20080 M5431   1 Sciatica, right side                                         Sciatica, right side
20081 M5432   1 Sciatica, left side                                          Sciatica, left side
20082 M544    0 Lumbago with sciatica                                        Lumbago with sciatica
20083 M5440   1 Lumbago with sciatica, unspecified side                      Lumbago with sciatica, unspecified side
20084 M5441   1 Lumbago with sciatica, right side                            Lumbago with sciatica, right side
20085 M5442   1 Lumbago with sciatica, left side                             Lumbago with sciatica, left side
20086 M545    0 Low back pain                                                Low back pain
20087 M5450   1 Low back pain, unspecified                                   Low back pain, unspecified
20088 M5451   1 Vertebrogenic low back pain                                  Vertebrogenic low back pain
20089 M5459   1 Other low back pain                                          Other low back pain
20090 M546    1 Pain in thoracic spine                                       Pain in thoracic spine
20091 M548    0 Other dorsalgia                                              Other dorsalgia
20092 M5481   1 Occipital neuralgia                                          Occipital neuralgia
20093 M5489   1 Other dorsalgia                                              Other dorsalgia
20094 M549    1 Dorsalgia, unspecified                                       Dorsalgia, unspecified
