CPT only copyright 2025 American Medical Association.  All rights reserved.						
Column1/Column2 Edits						
Column 1	Column 2	*=in existence	Effective	Deletion	Modifier	PTP Edit Rationale
		prior to 1996	Date	Date	0=not allowed	
				*=no data	1=allowed	
					9=not applicable	
0001U	0086U		20200101	*	1	Misuse of Column Two code with Column One code
0001U	0111U		20200101	*	1	Misuse of Column Two code with Column One code
0001U	0128U		20200101	20200630	1	Misuse of Column Two code with Column One code
0001U	0136U		20200101	*	1	Misuse of Column Two code with Column One code
0001U	0137U		20200101	*	1	Misuse of Column Two code with Column One code
0001U	0138U		20200101	*	1	Misuse of Column Two code with Column One code
0001U	0140U		20210101	*	1	Misuse of Column Two code with Column One code
0001U	0141U		20210101	*	1	Misuse of Column Two code with Column One code
0001U	0142U		20210101	*	1	Misuse of Column Two code with Column One code
0001U	0155U		20210101	*	1	Misuse of Column Two code with Column One code
0001U	0156U		20210101	*	1	Misuse of Column Two code with Column One code
0001U	0157U		20210101	*	1	Misuse of Column Two code with Column One code
0001U	0158U		20210101	*	1	Misuse of Column Two code with Column One code
0001U	0159U		20210101	*	1	Misuse of Column Two code with Column One code
0001U	0160U		20210101	*	1	Misuse of Column Two code with Column One code
0001U	0161U		20210101	*	1	Misuse of Column Two code with Column One code
0001U	0169U		20210101	*	1	Misuse of Column Two code with Column One code
0001U	0177U		20210101	*	1	Misuse of Column Two code with Column One code
0001U	0212U		20210101	*	1	Misuse of Column Two code with Column One code
0001U	0213U		20210101	*	1	Misuse of Column Two code with Column One code
0001U	0229U		20220101	*	1	Misuse of Column Two code with Column One code
0001U	0230U		20220101	*	1	Misuse of Column Two code with Column One code
0001U	0231U		20220101	*	1	Misuse of Column Two code with Column One code
0001U	0232U		20220101	*	1	Misuse of Column Two code with Column One code
0001U	0233U		20220101	*	1	Misuse of Column Two code with Column One code
0001U	0234U		20220101	*	1	Misuse of Column Two code with Column One code
0001U	0235U		20220101	*	1	Misuse of Column Two code with Column One code
0001U	0236U		20220101	*	1	Misuse of Column Two code with Column One code
0001U	0252U		20220101	*	1	Misuse of Column Two code with Column One code
0001U	0286U		20230101	*	1	Misuse of Column Two code with Column One code
0001U	0317U		20230101	*	1	Misuse of Column Two code with Column One code
0001U	0318U		20230101	*	1	Misuse of Column Two code with Column One code
0001U	0321U		20230101	*	1	Misuse of Column Two code with Column One code
0001U	0336U		20230101	*	1	Misuse of Column Two code with Column One code
0001U	0341U		20230101	*	1	Misuse of Column Two code with Column One code
0001U	0347U		20230101	*	1	Misuse of Column Two code with Column One code
0001U	0348U		20230101	*	1	Misuse of Column Two code with Column One code
0001U	0349U		20230101	*	1	Misuse of Column Two code with Column One code
0001U	0350U		20230101	*	1	Misuse of Column Two code with Column One code
0001U	0417U		20250101	*	1	Misuse of Column Two code with Column One code
0001U	0428U		20241001	20241231	1	Misuse of Column Two code with Column One code
0001U	0438U		20250101	*	1	Misuse of Column Two code with Column One code
0001U	80500		20180101	20211231	1	Misuse of Column Two code with Column One code
0001U	80502		20180101	20211231	1	Misuse of Column Two code with Column One code
0001U	80503		20220101	*	1	Misuse of Column Two code with Column One code
0001U	80504		20220101	*	1	Misuse of Column Two code with Column One code
0001U	80505		20220101	*	1	Misuse of Column Two code with Column One code
0001U	80506		20220101	*	1	Misuse of Column Two code with Column One code
0001U	81105		20180101	*	1	Misuse of Column Two code with Column One code
0001U	81106		20180101	*	1	Misuse of Column Two code with Column One code
0001U	81107		20180101	*	1	Misuse of Column Two code with Column One code
0001U	81108		20180101	*	1	Misuse of Column Two code with Column One code
0001U	81109		20180101	*	1	Misuse of Column Two code with Column One code
0001U	81110		20180101	*	1	Misuse of Column Two code with Column One code
0001U	81111		20180101	*	1	Misuse of Column Two code with Column One code
0001U	81112		20180101	*	1	Misuse of Column Two code with Column One code
0001U	81120		20180101	*	1	Misuse of Column Two code with Column One code
0001U	81121		20180101	*	1	Misuse of Column Two code with Column One code
0001U	81161		20180101	*	1	Misuse of Column Two code with Column One code
0001U	81162		20180101	*	1	Misuse of Column Two code with Column One code
0001U	81163		20190101	*	1	Misuse of Column Two code with Column One code
0001U	81164		20190101	*	1	Misuse of Column Two code with Column One code
0001U	81165		20190101	*	1	Misuse of Column Two code with Column One code
0001U	81166		20190101	*	1	Misuse of Column Two code with Column One code
0001U	81167		20190101	*	1	Misuse of Column T
